name,population
Ahvenanmaa,28501
Ahvenanmaa-----Åland,28501
AHVENANMAA---ÅLAND,28501
Ahvenanmaa--Åland,28501
Ahvenanmaanvaltionvirasto,28501
Akaa,17134
Alajärvi,10268
Alavieska,2761
Alavus,12341
Asikkala,8461
Askola,4988
Aura,3971
Brändö,476
Eckerö,960
Enonkoski,1532
Enontekiö,1880
Espoo,256824
Etelä-Karjalanmaakunta,132355
Etelä-Pirkanmaanseutukunta,43480
Etelä-PohjanmaanELY-keskus,194058
Etelä-Pohjanmaanmaakunta,194058
Etelä-SavonELY-keskus,153426
Etelä-Savonmaakunta,153426
Etelä-SuomenAVI,2258631
Etelä-Suomi,1160732
Eura,12406
Eurajoki,5922
Evijärvi,2686
Keski-Suomi,275161
Etelä-Pohjanmaa,194058
Pohjanmaa,179663
Satakunta,224934
Pirkanmaa,496568
Länsi-Suomi,1370384
Helsinki-Uusimaa,1566835
Helsinki-Uusimaa,1566835
Varsinais-Suomi,468936
Kanta-Häme,175472
Päijät-Häme,202548
Kymenlaakso,181421
Etelä-Karjala,132355
Etelä-Suomi,1160732
Etelä-Savo,153426
Pohjois-Savo,248233
Pohjois-Karjala,165754
Kainuu,80685
Keski-Pohjanmaa,68610
Pohjois-Pohjanmaa,400670
Lappi,182844
Pohjois-jaItä-Suomi,1300222
MANNER-SUOMI,5398173
Åland,28501
Åland,28501
ÅLAND,28501
Finström,2531
Forssa,17727
Forssanseutukunta,34917
Föglö,578
Geta,495
Haapajärvi,7641
Haapavesi,7283
Haapavesi-Siikalatvanseutukunta,14832
Hailuoto,986
Halsua,1248
Hamina,21256
Hammarland,1522
Hankasalmi,5453
Hanko,9267
Harjavalta,7486
Hartola,3205
Hattula,9720
Hausjärvi,8866
Heinola,20051
Heinävesi,3742
Helsinginseutukunta,1446798
Helsinki,603968
Helsinki-Uusimaa,1566835
Hirvensalmi,2377
Hollola,22054
Honkajoki,1832
Huittinen,10623
Humppila,2496
Hyrynsalmi,2603
Hyvinkää,45592
HämeenELY-keskus,378020
Hämeenkoski,2096
Hämeenkyrö,10500
Hämeenlinna,67497
Hämeenlinnanseutukunta,94138
Ii,9574
Iisalmi,22135
Iitti,6955
Ikaalinen,7346
Ilmajoki,12022
Ilomantsi,5693
Imatra,28294
Imatranseutukunta,43246
Inari,6732
Inkoo,5538
Isojoki,2290
Isokyrö,4886
Itä-Lapinseutukunta,17900
Itä-SuomenAVI,567413
Jakobstadsregionensekon.reg.,49783
Jalasjärvi,8071
Janakkala,16921
Joensuu,74168
Joensuunseutukunta,123898
Jokioinen,5643
Jomala,4355
Joroinen,5291
Joutsa,4898
Joutsanseutukunta,5671
Juankoski,5093
Juuka,5324
Juupajoki,2023
Juva,6783
Jyväskylä,133482
Jyväskylänseutukunta,177104
Jämijärvi,1986
Jämsä,22354
Jämsänseutukunta,24792
Järvenpää,39646
Järviseudunseutukunta,21871
Kaakkois-SuomenELY-keskus,313776
Kaarina,31363
Kaavi,3315
KainuunELY-keskus,80685
Kainuunmaakunta,80685
Kajaani,37973
Kajaaninseutukunta,57098
Kalajoki,12625
Kangasala,30126
Kangasniemi,5839
Kankaanpää,11957
Kannonkoski,1553
Kannus,5736
Kanta-Hämeenmaakunta,175472
Karijoki,1514
Karkkila,9119
Karstula,4376
Karvia,2545
